id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,conc_norm,inflow
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,0,0.077
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,1.215640162,0.211087904,1.004552258
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,1.92283021,1.3773893915,0.5454408185
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.2055653157000001,0.03453996701000017,1.17102534869
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.324,-0.946,1.27
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,-0.08897465131,0.09897465131
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.08837706936,0.011377069360000006,0.077
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.7614242254,-0.24312803259999993,1.004552258
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.1262719034,-0.41916891510000004,0.5454408185
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.314,-0.8570253486899999,1.17102534869
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.711,-0.559,1.27
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.08448734374,-0.014487307569999996,0.09897465131
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,0,0.077
