id_number,long_name,tank_number,treatment,date,time,inflow_table,date_time,date_string,time_string,date_time_string,run_number,N_N,NO2,PO4,SiO2,NH3,NO3
MOBEAST021,MOBEAST_T1_A_2024-06-02_1800,T1,Algae,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,0.306,0.08363127556,0.08018384997,0.08669681774,0.3178655571,0.22236872444
MOBEAST022,MOBEAST_T2_R_2024-06-02_1800,T2,CCA,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,0.589,0.08303861298,0.077,0.01,0.4558230761,0.5059613870199999
MOBEAST023,MOBEAST_T3_C_2024-06-02_1800,T3,Control,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,1.083,0.1475071317,0.0837833815,0.1093133789,2.430103622,0.9354928683
MOBEAST024,MOBEAST_T4_A_2024-06-02_1800,T4,Algae,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,0.584,0.01,0.1003755078,0.09800509832,2.802446005,0.574
MOBEAST025,MOBEAST_T5_R_2024-06-02_1800,T5,CCA,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,1.129,0.1259078731,0.07308763067,0.01,1.105257466,1.0030921269
MOBEAST026,MOBEAST_T6_K_2024-06-02_1800,T6,Coral,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,1.112,0.1186642193,0.07874403736,0.01696242086,1.373606278,0.9933357807000001
MOBEAST027,MOBEAST_T7_K_2024-06-02_1800,T7,Coral,2024-06-02,18:00:00,Table 2,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,0.477,0.1177422998,0.1184074467,0.06973439688,0.5067689972,0.3592577002
MOBEAST028,MOBEAST_T8_C_2024-06-02_1800,T8,Control,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,0.667,0.1671966997,0.1214584782,0.1884713429,1.000086926,0.49980330030000003
MOBEAST029,MOBEAST_T9_K_2024-06-02_1800,T9,Coral,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,2.128,0.1581750582,0.1005469141,0.0904662446,4.072058712,1.9698249418000002
MOBEAST030,MOBEAST_T10_R_2024-06-02_1800,T10,CCA,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,1.612,0.15731899,0.1049349144,0.01,4.426998776,1.45468101
MOBEAST031,MOBEAST_T11_C_2024-06-02_1800,T11,Control,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,1.046,0.1602164515,0.077,0.3241707098,2.573189361,0.8857835485000001
MOBEAST032,MOBEAST_T12_R_2024-06-02_1800,T12,CCA,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,1.275,0.1415146545,0.077,0.01,1.305846522,1.1334853455
MOBEAST033,MOBEAST_T13_A_2024-06-02_1800,T13,Algae,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,0.983,0.07316090327,0.077,0.01,1.300213887,0.90983909673
MOBEAST034,MOBEAST_T14_A_2024-06-02_1800,T14,Algae,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,0.611,0.144741373,0.07946394367,0.06408025659,1.171672116,0.466258627
MOBEAST035,MOBEAST_T15_C_2024-06-02_1800,T15,Control,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,2.242,0.143753602,0.077,0.01,2.738553431,2.098246398
MOBEAST036,MOBEAST_T16_K_2024-06-02_1800,T16,Coral,2024-06-02,18:00:00,Table 1,2024-06-02T18:00:00Z,2024-06-02,18:00:00,2024-06-02T18:00:00Z,1,2.482,0.08349957277,0.1183388842,0.04711783573,5.115020918,2.39850042723
MOBEAST037,MOBEAST_F1_Inflow_2024-06-03_0000,F1,Inflow,2024-06-03,00:00:00,Table 1,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,2.913,0.1681844707,0.1418558235,0.1978949101,0.9996665802,2.7448155293
MOBEAST038,MOBEAST_F2_Inflow_2024-06-03_0000,F2,Inflow,2024-06-03,00:00:00,Table 2,2024-06-03T00:00:00Z,2024-06-03,00:00:00,2024-06-03T00:00:00Z,1,0.743,0.1950518411,0.0759672559,0.13192994,0.7887370158,0.5479481588999999
