id_number,long_name,tank_number,treatment,date,time,inflow_table,date_time,date_string,time_string,date_time_string,run_number,N_N,NO2,PO4,SiO2,NH3,NO3
MOBEAST105,MOBEAST_T13_A_2024-06-06_1200,T13,Algae,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.49,0.09,0.1,0.12,1.36,1.4
MOBEAST106,MOBEAST_T14_A_2024-06-06_1200,T14,Algae,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.05,0.01,0.1,0.01,2.81,1.04
MOBEAST107,MOBEAST_T15_C_2024-06-06_1200,T15,Control,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.36,0.07,0.13,0.01,1.75,1.29
MOBEAST108,MOBEAST_T16_K_2024-06-06_1200,T16,Coral,2024-06-06,12:00:00,Table 1,2024-06-06T12:00:00Z,2024-06-06,12:00:00,2024-06-06T12:00:00Z,2,1.12,0.08,0.08,0.07,1.09,1.04
MOBEAST109,MOBEAST_Bay _Endmember_2024-05-27_1500,Bay,Endmember,2024-05-27,15:00:00,Environmental data,2024-05-27T15:00:00Z,2024-05-27,15:00:00,2024-05-27T15:00:00Z,2,3.18,0.01,0.09,0.67,0.53,3.1700000000000004
MOBEAST110,MOBEAST_Ocean_Endmember_2024-05-27_1500,Ocean,Endmember,2024-05-27,15:00:00,Environmental data,2024-05-27T15:00:00Z,2024-05-27,15:00:00,2024-05-27T15:00:00Z,2,1.44,0.01,0.11,0.01,0.11,1.43
MOBEAST111,MOBEAST_Lagoon_Endmember_2024-05-27_1645,Lagoon,Endmember,2024-05-27,16:45:00,Environmental data,2024-05-27T16:45:00Z,2024-05-27,16:45:00,2024-05-27T16:45:00Z,2,0.31,0.01,0.07,0.03,0.75,0.3
MOBEAST112,MOBEAST_Bay _Endmember_2024-05-25_1510,Bay,Endmember,2024-05-25,15:10:00,Environmental data,2024-05-25T15:10:00Z,2024-05-25,15:10:00,2024-05-25T15:10:00Z,2,0.96,0.01,0.12,0.28,0.49,0.95
MOBEAST113,MOBEAST_Ocean_Endmember_2024-05-25_1500,Ocean,Endmember,2024-05-25,15:00:00,Environmental data,2024-05-25T15:00:00Z,2024-05-25,15:00:00,2024-05-25T15:00:00Z,2,3.88,0.01,0.12,0.01,1.3,3.87
MOBEAST114,MOBEAST_Lagoon Tiahura_Endmember_2024-05-25_0845,Lagoon Tiahura,Endmember,2024-05-25,08:45:00,Environmental data,2024-05-25T08:45:00Z,2024-05-25,08:45:00,2024-05-25T08:45:00Z,2,0.31,0.01,0.14,0.01,0.74,0.3
MOBEAST115,MOBEAST_Bay _Rain_2024-06-06_1425,Bay,NA,2024-06-06,14:25:00,Environmental data,2024-06-06T14:25:00Z,2024-06-06,14:25:00,2024-06-06T14:25:00Z,2,1.22,0.01,0.59,16.11,1.17,1.21
