Sample_ID	long_name	extraction_vol	dilution_factor	fluorometer	Vol_1	Vol_2	Vol_3_half
MOBEAST060	MOBEAST_T4_A_2024-06-03_06:00	5	1	9.68	125	NA	NA
MOBEAST061	MOBEAST_T5_R_2024-06-03_06:00	5	1	3.37	125	NA	NA
MOBEAST062	MOBEAST_T6_K_2024-06-03_06:00	5	1	0.66	125	NA	NA
MOBEAST063	MOBEAST_T7_K_2024-06-03_06:00	5	1	2.54	125	NA	NA
MOBEAST064	MOBEAST_T8_C_2024-06-03_06:00	5	1	1.27	125	NA	NA
MOBEAST065	MOBEAST_T9_K_2024-06-03_06:00	5	1	0.51	125	NA	NA
MOBEAST066	MOBEAST_T10_R_2024-06-03_06:00	5	1	1.29	125	NA	NA
MOBEAST067	MOBEAST_T11_C_2024-06-03_06:00	5	1	4.18	125	NA	NA
MOBEAST068	MOBEAST_T12_R_2024-06-03_06:00	5	1	2.56	125	NA	NA
MOBEAST069	MOBEAST_T13_A_2024-06-03_06:00	5	1	2.2	125	NA	NA
MOBEAST070	MOBEAST_T14_A_2024-06-03_06:00	5	1	1.78	125	NA	NA
MOBEAST071	MOBEAST_T15_C_2024-06-03_06:00	5	1	3.88	125	NA	NA
MOBEAST072	MOBEAST_T16_K_2024-06-03_06:00	5	1	0.57	125	NA	NA
MOBEAST110	MOBEAST_Ocean_Endmember_2024-05-27_15:00	5	1	6.47	125	NA	NA
