"CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5_empirical","JP5_normalized","Diesel_Chen","sample","run_name","UniqueID"
0,0,6.31116669030015e-05,0,0.00388803433030185,0.0014718875653009,0.00025157231204314,0,0,2.82462385369029e-05,0.00553664669734958,Inf,1.04856843625263,Inf,Inf,0.100161684786965,0.0800620214483514,0.647329340893888,"Group001Sample0001","run5","MilliQ_run5_1"
0.0303884642375924,0.0304085078075568,0.0325451310537578,0.0300509831711061,0.0496189182563722,0,0.0168207828631984,0.027306089336544,0.0133168608150348,0.0376748111277052,0.00123900031150783,0.664317211684391,1.92771530076355,1.6533723308239,1.08299721404955,2.426429542432,0.0618588890872197,9.28930057700424,"Group001Sample0002","run5","TAU824037"
0.0169718776264944,0.0375941386494027,0.0180238600611268,0.0182481509664468,0.0656077433602001,0.00727625540986961,0.0106590231309236,0.0152711522160726,0.0075222206501966,0.0238609169228006,0.0920658980423394,1.05588041715992,1.12018743150618,1.73915557866759,0.987708842077621,2.89453390929399,0.10428599539835,9.68715490854724,"Group001Sample0003","run5","TAU824038"
0.0166509664936495,0.0347127240314404,0.0166531532167804,0.0183449816404993,0.0184897115181002,0,0.0097349478821773,0.0141429746376978,0.00656301878409475,0.020687706523756,0.00366485032155409,0.826362962370777,1.97998298456416,1.71549530718917,0.907777044596002,1.28782047899364,0.0590587706700174,5.66810904243169,"Group001Sample0004","run5","TAU824039"
0.0133113814251199,0.0514273406420678,0.0149821019066562,0.0143712311721764,0.0252857254279854,0,0.00905023169096287,0.0126101470037556,0.00607348329290229,0.0183878327463057,0.00953949524131456,0.952274029582636,1.18138771796425,1.75465241090154,1.04250649976757,1.76839774172422,0.0879860410037428,6.10221006947374,"Group001Sample0005","run5","TAU824040"
0.00797264278946199,0.0406151363741112,0.00758719384186759,0.00896238578604394,0.0180631846895026,0.0135753731772932,0.00371762060513774,0.00585205346127409,0.00308183869108104,0.00816979907383436,0.0064685943958098,0.828808155352074,0.746238962780014,1.75862657455615,0.846559612919388,1.3979969287402,0.116092132675311,4.48646446378621,"Group001Sample0006","run5","TAU824041"
0.0207244361061969,0.0281697367762594,0.0223877985865033,0.0214075904725241,0.0296406347977797,0.00681444526923896,0.0133539215893306,0.0187950512681113,0.00929408766145965,0.0261899498734255,0,0.816279182934811,2.30533948815568,1.58236466853922,1.04578787674574,1.54512964313317,0.0554042917441568,6.4186816693962,"Group001Sample0007","run5","TAU824042"
0.0112018179988796,0.0232039116551309,0.012168892806482,0.0117212263865897,0.0266397412249648,0.00437934457320403,0.00667536789549911,0.0104113913273937,0.00489872078445189,0.0150302855272906,0.00846929836534753,0.935716241533956,1.89744659391395,1.94172306192445,1.03819279699303,1.32295187745987,0.0789053802074608,5.00214108349463,"Group002Sample0001","run5","TAU824043"
0.00683729318467965,0.0245471537056266,0.00634844077356163,0.00734929907848086,0.0171218955849628,0,0.00314455098112472,0.00543961774599537,0.00207919065159341,0.00654042675135346,0.0227492843381719,1.22350088420272,0.787083546500285,1.90053843067775,0.863815815055099,1.0859331743575,0.107552178835083,4.03722753485408,"Group002Sample0002","run5","TAU824044"
0.007839342750135,0.0286137735271064,0.00851777117605132,0.010130926955124,0.0155709008317258,0,0.00488515678054119,0.00704914823215993,0.00296077563519369,0.0101617086938157,0,1.13178194706055,1.03386271367034,1.70312528033343,0.840769182699837,1.04036741092617,0.0831749201530978,3.96274561138179,"Group002Sample0003","run5","TAU824045"
