"UniqueID","CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5_empirical","JP5_normalized","Diesel_Chen","sample","run_name"
"MilliQ_run3_2",0.000188813671558444,0.00730226463173433,0,0.000507200275374204,0.00131404768689952,0.0517931287734439,0,0,0,0,0,1.36498894496191,0.194504719838501,0,0,0.0470776078573511,0.0336059678884965,0.776672502673177,"Group007Sample0003","run3"
"MilliQ_run4_1",0.00182038086174154,0,0.00061628883610005,0.00672384365396026,0.0696927027608904,0,0.000329633475302495,0.000195973750026643,0.000143230440059672,0.00385834204537232,0.128125272341608,2.56516773006487,0.264996562752858,2.36621995176594,0.0916572228351953,2.03613141424312,0.175754164592191,8.63541890795013,"Group001Sample0001","run4"
"MilliQ_run5_1",0,0,6.31116669030015e-05,0,0.00388803433030185,0.0014718875653009,0.00025157231204314,0,0,2.82462385369029e-05,0.00553664669734958,Inf,1.04856843625263,Inf,Inf,0.100161684786965,0.0800620214483514,0.647329340893888,"Group001Sample0001","run5"
"MilliQ_run6_1",0.00255283232084221,0.0190700264946188,0.000973435625843649,0.00599609272571885,0.0726549045998397,0,0.000103736824044949,0.000596868543149377,0,0.00433006699624034,0.155846035783288,2.19219946558332,0.242423014506694,1.96902714523902,0.162344992042622,2.52572017874226,0.187803087617015,9.30283932276439,"Group001Sample0001","run6"
"MilliQ_run6_2",0,0.00183075214811573,0.000224529491867811,0,0,0,0,0,0,0,0,NA,Inf,0,Inf,0.00262053806351494,0.0054485831471094,0.0930304187704787,"Group006Sample0003","run6"
"MilliQ1_run3_1",0.000415972269015713,0,7.20404544535041e-05,0.00011737113546427,0,0.0107671211097511,0,0,0,0,0.0226692310523493,Inf,5.79146199976903,NA,0.613783398861592,0.00051090295510074,0.000613055291855669,0.356732553390155,"Group001Sample0001","run3"
"MOBEAST019",0.00961986652567843,0.0315779044574697,0.00561235303758175,0.0102169424488086,0.0644203685763733,0.0304533832692455,0.0028197120465168,0.0040413557653376,0.00273868321848393,0.00756397562650488,0.0419484322293262,0.898175423942521,0.498031823212017,2.24355159580479,0.549318258931389,2.66520530905439,0.198126855459139,7.07797017276456,"Group001Sample0002","run3"
"MOBEAST020",0.00820952535832342,0.0310021377847819,0.00564098860058841,0.00956289601103543,0.0341886755913544,0.0123931740910441,0.00259640056728641,0.00417536712780491,0.00225101388032962,0.00718056375426248,0.00812624189546666,0.741155663559568,0.723935431233357,2.0658626169228,0.589882875865094,1.74804892721943,0.165076502698175,4.83069694433162,"Group001Sample0003","run3"
"MOBEAST021",0.010027685357668,0.0439651384661811,0.00948268515764913,0.0126113492378811,0.0395453582158987,0.0235533491981077,0.00505241282205056,0.00694501481688152,0.00398311205334495,0.0109663235970307,0.00918419440636502,0.849847397289607,0.724200625401542,1.89420382433882,0.751916783746316,2.15122702884649,0.14926539345973,5.67694139720386,"Group001Sample0004","run3"
"MOBEAST022",0.00989730526578994,0.0493559048596402,0.00927075708610054,0.0112867140867675,0.04995288497511,0.0507273536225054,0.00465690227127404,0.00778281780458222,0.00368707963103153,0.00938798281622005,0.0182500389213102,0.795391962143761,0.618034421618206,1.92840254200873,0.821386722019437,2.61732021717729,0.171605722079027,6.56790044389503,"Group001Sample0005","run3"
"MOBEAST023",0.01037876327458,0.0289106904323535,0.00669876016416284,0.0125623217874888,0.0383274426956897,0.00141398922546794,0.00313231183047168,0.00498624668617597,0.00294485475471371,0.00920796374222604,0.0363378483026733,0.800204969080671,0.768079230294414,2.18391127736469,0.533242204544889,1.78351716906424,0.136978027277832,5.63181398131482,"Group001Sample0006","run3"
"MOBEAST024",0.00886444497836918,0.0437684534559379,0.00825385430998473,0.00991821602174392,0.0436515113822685,0.00833448977261558,0.00464850524771181,0.00628629472289159,0.00412950577295117,0.00947858487142865,0.0157540617628621,0.83652675197506,0.619036528329923,1.80835594853864,0.832191423527137,2.21889556263302,0.166551095921735,5.51470227406487,"Group001Sample0007","run3"
"MOBEAST025",0.00956095904636006,0.0510995109407609,0.00770686259051626,0.0122459360395947,0.0550942792924809,0,0.0033275519781725,0.00536122663178039,0.0025435133781323,0.00932994806664212,0.000336374256132029,0.839587539224589,0.620345383252867,2.13520495349685,0.629340424904862,2.64910091140266,0.180015393838476,7.00701976193932,"Group002Sample0001","run3"
"MOBEAST026",0.0110295895818486,0.0708228191167677,0.00870641923363562,0.0154280351437499,0.0956305601836404,0.0253073138341852,0.00387703095275218,0.00648263870223153,0.00339073287521442,0.0106855022381941,0.048264258973294,0.855793861398146,0.421731470332397,2.07264691617572,0.564324565799468,4.25981000400258,0.21505619323077,10.7527660703475,"Group002Sample0002","run3"
"MOBEAST027",0.0072538361693044,0.0534740519511955,0.00631935728754721,0.00958640971009911,0.0446940034121581,0.0298766111036638,0.00274986919655453,0.00528545000200643,0.00247016261190621,0.00758082412703199,0.0247027438583745,0.820974909080176,0.506355768049089,2.69473638334386,0.659199583436318,2.38833747552271,0.188663081131593,6.44044534617447,"Group002Sample0003","run3"
