"X","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240","UniqueID"
701.63,0.000513707656871286,0.000295116479515783,0.000706409843631252,0.000483033120368797,0.000595055952962072,0.000778846263859512,0.000313723117246401,0.000140056484497417,0.000190902908164925,0.000427517668384304,0.000225159681426587,0.000550804490104724,0.000810581336291324,0.000291499608997129,0.000672053074356249,0.000292774762888543,0.000270521777658672,0.000775148062856331,0.000894568926775213,0.000682051049761771,0.000664488353998198,0.000930731399868354,0.000178726488434514,0.000324515821282538,0.000256450513283992,0.000777593298430571,0.000733817112557494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
706.367,0.000536799722556596,6.68681577809763e-07,0.000116767445532496,0.000663353155223799,0.000191588412821332,0.000201412557596304,0.000306958797458054,0.000439637656041797,0.000190941151097227,0,0.000553188313279661,0.000655967874405415,0.000480359694514913,0.00065937853206026,0.000174017646384908,0.000684592032806936,0.000489872895759,0.000825624090392459,0.000982162413535108,0.000454083116844499,0.000427823562841693,0.000680818221401698,0.000535581095489171,0.000702492567875495,0.000641042495271953,0.000934743910899588,0.000684346040536651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
711.106,0,0,0,0,0,0,0,0,9.89442153360037e-05,2.73039913669886e-05,0,0.000304619231922512,0,0,0.000321431887152554,0.000367476352235484,0.000148227294430135,0.000280086063076749,0.000536136100190701,0.000230241599568365,0.000288090355621006,1.08327270472705e-05,7.06441409895634e-05,0,0,0.000189986457320005,0.000159509204845471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
715.845,9.54423849310495e-05,0,0.000129304237401036,0,0.00030804452930067,0.000228922488459537,0,0.000130469037402985,5.54945619800103e-05,0.00036855625617539,0.000232429886106439,0.000353255115432486,0.000260183404907744,0.000128345105406499,0.000273136730665105,4.52599258925336e-05,0.000153302886336879,0.000438478495768155,7.64203533866926e-05,0.000610781235543975,0.000292883649964264,0.000175808970844606,0.000291946260776622,0,0.000577966215734367,0.000437746701413671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
720.586,0,0.00012355448526879,0.000390302591787051,0.00010453463677402,0,1.46514104242268e-05,0.000240227231760461,0,0.000204318318663121,0.000372909517338947,6.08402947654089e-05,0,0,0.000109524076263818,0.000211244616791863,0.000146870797309476,0.000612679762060159,0.00023475544352378,0,0.000722145649424834,0.000642803187260571,0.000530321501934478,0.000452442509845558,0.000205777357064298,8.53322859553053e-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
725.329,0.000369340195179545,0,0,0,0,0,5.43456904227585e-06,1.83297263247356e-06,0,0,0.000333148220633945,0.000142408777673528,0,0,6.98394144412091e-05,0,0.000261231448810833,0,0,0,0,0,0,9.7322738889577e-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
730.072,0.000440512819133217,0.000117981575097565,0.000229194368833859,0,0.000115217711413738,0.000277537005510537,0,0.000259588671620318,0.000279872610745902,0.000175913623253392,0.000646076936892046,0,0.000143320532553212,0.000200309665589903,0.000121773918209419,0,0,0.000151605289754981,0.000307199898218847,0.000910504696074831,0.000518806142203399,0,0.000392608131274774,0.000162401165981768,8.03887407070283e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
734.817,0.000185930257307982,0.000514441874642163,0.00011170857082218,0.00034644669026599,0.000408571984722221,0.000220260393495881,0.00034078855471268,0.000127826395648952,0.000160271713104896,0.000420183775527585,0.000544509541801365,0.000487278999951886,0.00104541171813934,0.000451516738782656,0.00057941329418862,0.000448289945716046,3.36676852808279e-06,0.000357845128256416,0.000544494025236917,0.000428882402104199,0.000933391757801941,0.000209680021237573,0.000158207438638224,0.000513238334462386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
739.563,0.000522713435556446,0.000297805412221984,0,0.000298768919881605,0,0.000145058534985666,0.000380898823864964,0.000204031999330294,0.000274061463530673,0,0.000352454806712361,0.000795996925049544,0,0.000407823630313733,0.000565013400671721,0.000318407920983212,0.000395204545310102,0.000273880025938152,0.000592998258059113,0.00030813142723008,0.00061155963760445,0.000104607493954992,0.000548645331383012,0.000536348027513114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
744.31,0.000153230249163081,0,0,0,0,0,0,0,0,0,9.92857575029043e-05,0,0,0.000113144327775686,0.000182015828087261,0,0,0,0,9.81802846922803e-05,0,0.000271718103117126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOBEAST115"
