id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,fdom_conc_norm,inflow
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.750071359436272,hix,Humic,0.346934438774256,0.403136920662016
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.033533544792945,Phenylalanine,Proteinaceous,0.0024133625870655998,0.0311201822058794
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.6403347247674,Fluvic Acid,Humic,-0.20319739923339997,1.8435321240008
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,Table 1,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.0657295178843358,lignin,Other,0.0198909271774408,0.045838590706895
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.00830268721292771,UV-Humic,Humic,0.0011586225557160901,0.00714406465721162
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0495129601850767,Tyrosine,Proteinaceous,0.0109038772007349,0.0386090829843418
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.00810568371139948,Visible-Humic,Humic,0.0045710556778396794,0.0035346280335598
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.0112009294287335,Marine Humic,Humic,0.00290517400234812,0.00829575542638538
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0464802341480124,Tryptophan,Proteinaceous,-0.002120335910695499,0.0486005700587079
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.723661707090676,m_to_c,Humic,0.29758501462725,0.426076692463426
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,0.623118700069342,bix,Humic,0.11838665976374396,0.504732040305598
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.519119231285919,hix,Humic,0.10896785624172195,0.410151375044197
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.017656132865053,Phenylalanine,Proteinaceous,-0.0179459636552136,0.0356020965202666
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fi,1.99337550677921,Fluvic Acid,Humic,0.40317353391052,1.59020197286869
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,lignin,0.0118461646779671,lignin,Other,-0.010356142756827799,0.0222023074347949
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_a,0.00669604836955613,UV-Humic,Humic,-4.4801628765548957e-4,0.00714406465721162
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_b,0.0738940509924444,Tyrosine,Proteinaceous,0.035284968008102595,0.0386090829843418
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_c,0.00585434493565206,Visible-Humic,Humic,0.00231971690209226,0.0035346280335598
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_m,0.0101728636907881,Marine Humic,Humic,0.001877108264402719,0.00829575542638538
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,coble_t,0.0821615539097586,Tryptophan,Proteinaceous,0.0335609838510507,0.0486005700587079
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,m_to_c,0.575486422859805,m_to_c,Humic,0.149409730396379,0.426076692463426
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,bix,1.04774754070578,bix,Humic,0.5430155004001819,0.504732040305598
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,hix,0.257161768669714,hix,Humic,-0.152989606374483,0.410151375044197
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02 12:00:00,2024-06-02,12:00:00,fpeak,0.0358451535408891,Phenylalanine,Proteinaceous,2.4305702062250162e-4,0.0356020965202666
