"UniqueID","CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C","JP5_empirical","JP5_normalized","Diesel_Chen","sample","run_name"
"MilliQ_run3_2",0.000188813671558444,0.00730226463173433,0,0.000507200275374204,0.00131404768689952,0.0517931287734439,0,0,0,0,0,1.36498894496191,0.194504719838501,0,0,0.0470776078573511,0.0336059678884965,0.776672502673177,"Group007Sample0003","run3"
"MilliQ_run4_1",0.00182038086174154,0,0.00061628883610005,0.00672384365396026,0.0696927027608904,0,0.000329633475302495,0.000195973750026643,0.000143230440059672,0.00385834204537232,0.128125272341608,2.56516773006487,0.264996562752858,2.36621995176594,0.0916572228351953,2.03613141424312,0.175754164592191,8.63541890795013,"Group001Sample0001","run4"
"MilliQ_run7_1",0,0,0,3.30433379649146e-05,0.00106153778996705,0,5.22528306825623e-05,0.000474613026328612,0,0,0,0,1.1557499864796,0,0,0.00801421253585175,0.0111184700600517,0.329757390715052,"Group001Sample0001","run7"
"MilliQ_run7_2",0,0.0214052556304183,0,0.000168423859195462,0,0,0,0.000300668774259657,0,0,0,NA,0.466048245084977,Inf,0,0.194851897891294,0.0844654293639704,1.06729656262923,"Group008Sample0007","run7"
"MilliQ1_run3_1",0.000415972269015713,0,7.20404544535041e-05,0.00011737113546427,0,0.0107671211097511,0,0,0,0,0.0226692310523493,Inf,5.79146199976903,NA,0.613783398861592,0.00051090295510074,0.000613055291855669,0.356732553390155,"Group001Sample0001","run3"
"MOBEAST001",0.00853447977615506,0.0486708207755194,0.00527138334795566,0.0100632119825517,0.0560012824498741,0.0311201822058794,0.00214238714801187,0.00397358809881512,0.00151225989406494,0.00710540349209539,0.045838590706895,0.6731170747591,0.403136920662016,1.8435321240008,0.523827119720381,2.71770241312994,0.219104748009555,7.94179795990597,"Group001Sample0002","run7"
"MOBEAST002",0.00714406465721162,0.0386090829843418,0.0035346280335598,0.00829575542638538,0.0486005700587079,0.0356020965202666,0.00155267351545018,0.00315452171149055,0.000864573875968054,0.00477976332056526,0.0222023074347949,0.504732040305598,0.410151375044197,1.59020197286869,0.426076692463426,2.28792757625249,0.240529284070505,6.05042788268634,"Group001Sample0003","run7"
"MOBEAST003",0.0220176662634898,0.0678531588116172,0.0219093721011687,0.0258833217124717,0.0824940881681683,0.033533544792945,0.0132727291329799,0.0178564638747278,0.010296889875911,0.0233796865779254,0.0657295178843358,0.789836982968776,0.750071359436272,1.6403347247674,0.846466784462671,3.97463103706467,0.123059304362842,11.6276364389282,"Group001Sample0004","run7"
"MOBEAST004",0.00830268721292771,0.0495129601850767,0.00810568371139948,0.0112009294287335,0.0464802341480124,0.017656132865053,0.00379326772992317,0.00693662647664057,0.00326664093506179,0.00949259769892531,0.0118461646779671,0.623118700069342,0.519119231285919,1.99337550677921,0.723661707090676,2.53871484962386,0.18266566493318,6.56137313456284,"Group001Sample0005","run7"
"MOBEAST005",0.00669604836955613,0.0738940509924444,0.00585434493565206,0.0101728636907881,0.0821615539097586,0.0358451535408891,0.00260993332687397,0.0045171232768421,0.00146675832926732,0.00598038191352187,0.0590873668425802,1.04774754070578,0.257161768669714,2.06276625464932,0.575486422859805,3.96777353501943,0.245081447662372,10.8032472699626,"Group001Sample0006","run7"
"MOBEAST006",0.0116062673467997,0.0497155458912274,0.0107713771411973,0.0131371632353457,0.0554571313831756,0.0371130699600357,0.00657214076366234,0.00970439042835993,0.00525565859950256,0.0116969307860349,0,0.700776730184215,0.519895191089651,1.53329445553414,0.819916518371092,2.74342162870419,0.140794667409979,7.98894576233216,"Group001Sample0007","run7"
"MOBEAST007",0.00717105420229528,0.0842049843998443,0.00519902281090358,0.00798038807665228,0.0468113907268575,0.0727621058419829,0.00190333419654386,0.00405274350174482,0.00184156976082639,0.00674261343582715,0.0332114083848893,0.809934654402416,0.394668593569803,1.64077425570003,0.65147493592624,2.88321278490348,0.220993197097384,7.3047932140425,"Group002Sample0001","run7"
"MOBEAST008",0.00883950132834377,0.0902454398599073,0.00607299841421672,0.0141383098194434,0.112401389649781,0.00508427941616261,0.00267959554263109,0.00505793560224704,0.00173380293749099,0.00712195546330263,0.0314583355953983,1.10544232504663,0.263913512225075,2.19204824425479,0.429542038035195,5.08669014985198,0.273648752471322,11.5733346718205,"Group002Sample0002","run7"
"MOBEAST009",0.00615935701827658,0.0582300073973647,0.00463336603630153,0.0086108509646838,0.0618829090824658,0.075473695267994,0.00261031807127504,0.00367926752171538,0.00194685837825943,0.00797081694837255,0.00368705787668607,0.944571048401857,0.411622748767734,1.48230977440288,0.538084569725412,2.91366222768463,0.233229025341116,6.96167127244858,"Group002Sample0003","run7"
"MOBEAST010",0.00605195208140413,0.0760813789534515,0.00331565196640908,0.00709216405823315,0.0414345765218118,0.0315181244940096,0.0017678246152573,0.0026050768509302,0.00171102714910881,0.00617512405602514,0.0159177853903355,0.642964204961481,0.377003790028423,1.41412357518019,0.467509202999895,2.59659809524599,0.242645605607035,6.41985970345453,"Group002Sample0004","run7"
