id_number,long_name,tank_number,treatment,date,time,date_time,coble_a,coble_b,coble_c,coble_m,coble_t,m_to_c,bix,hix,fpeak,fi,lignin,sample_type
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00853447977615506,0.0486708207755194,0.00527138334795566,0.0100632119825517,0.0560012824498741,0.523827119720381,0.6731170747591,0.403136920662016,0.0311201822058794,1.8435321240008,0.045838590706895,Inflow
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00714406465721162,0.0386090829843418,0.0035346280335598,0.00829575542638538,0.0486005700587079,0.426076692463426,0.504732040305598,0.410151375044197,0.0356020965202666,1.59020197286869,0.0222023074347949,Inflow
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,2024-06-02,12:00:00,2024-06-02 12:00:00,0.0220176662634898,0.0678531588116172,0.0219093721011687,0.0258833217124717,0.0824940881681683,0.846466784462671,0.789836982968776,0.750071359436272,0.033533544792945,1.6403347247674,0.0657295178843358,Algae
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,Rubble,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00830268721292771,0.0495129601850767,0.00810568371139948,0.0112009294287335,0.0464802341480124,0.723661707090676,0.623118700069342,0.519119231285919,0.017656132865053,1.99337550677921,0.0118461646779671,Rubble
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00669604836955613,0.0738940509924444,0.00585434493565206,0.0101728636907881,0.0821615539097586,0.575486422859805,1.04774754070578,0.257161768669714,0.0358451535408891,2.06276625464932,0.0590873668425802,Control
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02,12:00:00,2024-06-02 12:00:00,0.0116062673467997,0.0497155458912274,0.0107713771411973,0.0131371632353457,0.0554571313831756,0.819916518371092,0.700776730184215,0.519895191089651,0.0371130699600357,1.53329445553414,0,Algae
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,Rubble,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00717105420229528,0.0842049843998443,0.00519902281090358,0.00798038807665228,0.0468113907268575,0.65147493592624,0.809934654402416,0.394668593569803,0.0727621058419829,1.64077425570003,0.0332114083848893,Rubble
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00883950132834377,0.0902454398599073,0.00607299841421672,0.0141383098194434,0.112401389649781,0.429542038035195,1.10544232504663,0.263913512225075,0.00508427941616261,2.19204824425479,0.0314583355953983,Coral
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00615935701827658,0.0582300073973647,0.00463336603630153,0.0086108509646838,0.0618829090824658,0.538084569725412,0.944571048401857,0.411622748767734,0.075473695267994,1.48230977440288,0.00368705787668607,Coral
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,2024-06-02,12:00:00,2024-06-02 12:00:00,0.00605195208140413,0.0760813789534515,0.00331565196640908,0.00709216405823315,0.0414345765218118,0.467509202999895,0.642964204961481,0.377003790028423,0.0315181244940096,1.41412357518019,0.0159177853903355,Control
