tank_number,treatment,inflow_table,date_time,date,time,org,conc_ul,outlier,time_string,date_string,date_time_string,conc_norm
T11,Control,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,483.783,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,21.293901982352907
T11,Control,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.333,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.12903703701666663
T11,Control,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,125.7,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,1.8370370166666703
T12,CCA,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,410.017,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-52.47209801764711
T12,CCA,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.283,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.17903703701666668
T12,CCA,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,103.417,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-20.44596298333333
T13,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,629.333,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,166.84390198235286
T13,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.15,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.31203703701666663
T13,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,111.033,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-12.829962983333331
T14,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,502.4,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,39.91090198235287
T14,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.217,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.24503703701666665
T14,Algae,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,88.617,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-35.24596298333333
T15,Control,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,483.627,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,21.1379019823529
T15,Control,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.2,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.26203703701666664
T15,Control,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,127.304,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,3.4410370166666695
T16,Coral,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,het_bact,433.867,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-28.62209801764709
T16,Coral,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,pico_euk,0.217,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-0.24503703701666665
T16,Coral,Table 1,2024-06-03T03:00:00Z,2024-06-03,03:00:00,syn,105.633,not outlier,03:00:00,2024-06-03,2024-06-03 03:00:00,-18.229962983333337
F1,Inflow,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,453.91,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-10.087777777777774
F1,Inflow,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.2,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-0.032277777777777766
F1,Inflow,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,100.948,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-1.536888888888896
F2,Inflow,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,479.85,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,15.852222222222224
F2,Inflow,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.283,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.050722222222222196
F2,Inflow,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,104.9,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,2.4151111111111163
T1,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,463.245,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-0.7527777777777942
T1,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.216,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-0.01627777777777778
T1,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,84.359,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-18.125888888888895
T2,CCA,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,397.717,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-66.28077777777781
T2,CCA,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.217,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-0.015277777777777779
T2,CCA,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,62.467,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-40.01788888888889
T3,Control,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,472.047,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,8.049222222222227
T3,Control,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.283,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.050722222222222196
T3,Control,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,105.042,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,2.5571111111111122
T4,Algae,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,650.333,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,186.33522222222217
T4,Algae,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.416,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.1837222222222222
T4,Algae,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,99.101,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-3.3838888888888903
T6,Coral,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,384.75,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-79.2477777777778
T6,Coral,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.35,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.1177222222222222
T6,Coral,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,76.117,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-26.367888888888885
T7,Coral,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,507.45,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,43.45222222222219
T7,Coral,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.25,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.017722222222222223
T7,Coral,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,100.533,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-1.9518888888888881
T8,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,481.583,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,17.585222222222228
T8,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.2,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-0.032277777777777766
T8,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,105.617,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,3.132111111111115
T9,Coral,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,455.8,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-8.197777777777787
T9,Coral,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.45,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.21772222222222223
T9,Coral,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,99.25,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-3.2348888888888894
T10,CCA,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,420.85,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-43.147777777777776
T10,CCA,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.25,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.017722222222222223
T10,CCA,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,88.9,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-13.584888888888884
T11,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,542.978,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,78.98022222222215
T11,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.366,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.13372222222222221
T11,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,113.71,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,11.225111111111104
T12,CCA,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,453.178,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-10.819777777777801
T12,CCA,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.266,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.03372222222222224
T12,CCA,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,92.113,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-10.37188888888889
T13,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,617.1,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,153.10222222222222
T13,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.283,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.050722222222222196
T13,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,94.283,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-8.201888888888888
T14,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,530.933,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,66.9352222222222
T14,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.1,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-0.13227777777777777
T14,Algae,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,81.2,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-21.284888888888887
T15,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,472.23,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,8.23222222222222
T15,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.266,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.03372222222222224
T15,Control,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,106.722,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,4.237111111111105
T16,Coral,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,472.117,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,8.11922222222222
T16,Coral,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.383,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,0.15072222222222223
T16,Coral,Table 1,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,96.833,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-5.651888888888891
T5,CCA,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,het_bact,439.601,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-24.3967777777778
T5,CCA,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,pico_euk,0.166,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-0.06627777777777777
T5,CCA,Table 2,2024-06-03T06:00:00Z,2024-06-03,06:00:00,syn,80.715,not outlier,06:00:00,2024-06-03,2024-06-03 06:00:00,-21.769888888888886
F1,Inflow,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,522.15,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-4.884533333333366
F1,Inflow,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,119.15,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.23333333333333428
F2,Inflow,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,540.467,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,13.432466666666642
F2,Inflow,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,pico_euk,4.067,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-1.1370588235294115
F2,Inflow,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,syn,118.55,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.36666666666667425
T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,het_bact,737.033,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,209.99846666666667
