id_number,long_name,tank_number,treatment,date_time,date,time,inflow_table,date_string,time_string,date_time_string,nutrient,conc,outlier,conc_norm
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.9062657249,not outlier,0.4355764160777778
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.088,not outlier,-0.009735133920555583
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,1.332,not outlier,0.1383888888888889
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.1264346843,not outlier,0.030558707109444444
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,1.215640162,not outlier,0.04645264264705884
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,1.92283021,not outlier,1.452140901177778
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,1.2055653157000001,not outlier,0.10783018177944448
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.324,not outlier,-0.8696111111111111
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.01,not outlier,-0.08587597719055555
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.08837706936,not outlier,0.007001223355555558
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,SiO2,0.7614242254,not outlier,-0.4077632939529411
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.1262719034,not outlier,-0.3444174054222222
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.314,not outlier,-0.7837351339205556
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,N_N,0.711,not outlier,-0.4826111111111112
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO2,0.08448734374,not outlier,-0.011388633450555546
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,PO4,0.077,not outlier,-0.0043758460044444475
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NH3,0.7588924581,not outlier,0.28820314927777774
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,2024-06-02T12:00:00Z,2024-06-02,12:00:00,Table 2,2024-06-02,12:00:00,2024-06-02 12:00:00,NO3,0.62651265626,not outlier,-0.4712224776605557
