id_number,tank_number,treatment,inflow_table,date_time,date,time,fdom,fdom_conc,fdom_alt_name,fdom_cat,outlier,time_string,date_string,date_time_string,conc_norm
MOBEAST003,T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,hix,0.750071359436272,hix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.3442065954034078
MOBEAST003,T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fpeak,0.033533544792945,Phenylalanine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,8.315104761054126e-4
MOBEAST003,T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fi,1.6403347247674,Fluvic Acid,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.10468011823757939
MOBEAST003,T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,lignin,0.0657295178843358,lignin,Other,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.02908281511659084
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_a,0.00830268721292771,UV-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,3.407313092787731e-4
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_b,0.0495129601850767,Tyrosine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.0047550374394596945
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_c,0.00810568371139948,Visible-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.0035097052079310987
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_m,0.0112009294287335,Marine Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.001865493675191461
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_t,0.0464802341480124,Tryptophan,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.006642993483074844
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,m_to_c,0.723661707090676,m_to_c,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.2378486424146664
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,bix,0.623118700069342,bix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.015484694264381704
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,hix,0.519119231285919,hix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.11325446725305477
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fpeak,0.017656132865053,Phenylalanine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.015045901451786588
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fi,1.99337550677921,Fluvic Acid,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.2483606637742306
MOBEAST004,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,lignin,0.0118461646779671,lignin,Other,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.024800538089777863
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_a,0.00669604836955613,UV-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.0012659075340928066
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_b,0.0738940509924444,Tyrosine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.02913612824682739
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_c,0.00585434493565206,Visible-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.001258366432183679
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_m,0.0101728636907881,Marine Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,8.374279372460602e-4
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_t,0.0821615539097586,Tryptophan,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.029038326278671353
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,m_to_c,0.575486422859805,m_to_c,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.0896733581837954
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,bix,1.04774754070578,bix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.4401135349008196
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,hix,0.257161768669714,hix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.14870299536315018
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fpeak,0.0358451535408891,Phenylalanine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.003143119224049515
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fi,2.06276625464932,Fluvic Acid,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.31775141164434073
MOBEAST005,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,lignin,0.0590873668425802,lignin,Other,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.02244066407483524
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_a,0.0116062673467997,UV-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.0036443114431507634
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_b,0.0497155458912274,Tyrosine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.004957623145610393
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_c,0.0107713771411973,Visible-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.0061753986377289195
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_m,0.0131371632353457,Marine Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.0038017274818036607
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_t,0.0554571313831756,Tryptophan,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.002333903752088355
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,m_to_c,0.819916518371092,m_to_c,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.33410345369508243
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,bix,0.700776730184215,bix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.09314272437925475
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,hix,0.519895191089651,hix,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.11403042705678679
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fpeak,0.0371130699600357,Phenylalanine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.004411035643196115
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,fi,1.53329445553414,Fluvic Acid,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.21172038747083954
MOBEAST006,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,lignin,0,lignin,Other,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-0.03664670276774496
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_a,0.00717105420229528,UV-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,-7.909017013536567e-4
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_b,0.0842049843998443,Tyrosine,Proteinaceous,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,0.03944706165422729
MOBEAST007,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,coble_c,0.00519902281090358,Visible-Humic,Humic,not outlier,12:00:00,2024-06-02,2024-06-02 12:00:00,6.030443074351985e-4
