ID Number ,Long Name ,Tank #,Treatment,Date,Time
MOBEAST061,MOBEAST_T5_R_2024-06-03_0600,T5,R,6/3/2024,0600
MOBEAST062,MOBEAST_T6_K_2024-06-03_0600,T6,K,6/3/2024,0600
MOBEAST063,MOBEAST_T7_K_2024-06-03_0600,T7,K,6/3/2024,0600
MOBEAST064,MOBEAST_T8_C_2024-06-03_0600,T8,C,6/3/2024,0600
MOBEAST065,MOBEAST_T9_K_2024-06-03_0600,T9,K,6/3/2024,0600
MOBEAST066,MOBEAST_T10_R_2024-06-03_0600,T10,R,6/3/2024,0600
MOBEAST067,MOBEAST_T11_C_2024-06-03_0600,T11,C,6/3/2024,0600
MOBEAST068,MOBEAST_T12_R_2024-06-03_0600,T12,R,6/3/2024,0600
MOBEAST069,MOBEAST_T13_A_2024-06-03_0600,T13,A,6/3/2024,0600
MOBEAST070,MOBEAST_T14_A_2024-06-03_0600,T14,A,6/3/2024,0600
MOBEAST071,MOBEAST_T15_C_2024-06-03_0600,T15,C,6/3/2024,0600
MOBEAST072,MOBEAST_T16_K_2024-06-03_0600,T16,K,6/3/2024,0600
MOBEAST073,MOBEAST_F1_Inflow_2024-06-04_1200,F1,Inflow,6/4/2024,1200
MOBEAST074,MOBEAST_F2_Inflow_2024-06-04_1200,F2,Inflow,6/4/2024,1200
MOBEAST075,MOBEAST_T1_A_2024-06-04_1200,T1,A,6/4/2024,1200
MOBEAST076,MOBEAST_T2_R_2024-06-04_1200,T2,R,6/4/2024,1200
MOBEAST077,MOBEAST_T3_C_2024-06-04_1200,T3,C,6/4/2024,1200
MOBEAST078,MOBEAST_T4_A_2024-06-04_1200,T4,A,6/4/2024,1200
MOBEAST079,MOBEAST_T5_R_2024-06-04_1200,T5,R,6/4/2024,1200
MOBEAST080,MOBEAST_T6_K_2024-06-04_1200,T6,K,6/4/2024,1200
MOBEAST081,MOBEAST_T7_K_2024-06-04_1200,T7,K,6/4/2024,1200
MOBEAST082,MOBEAST_T8_C_2024-06-04_1200,T8,C,6/4/2024,1200
MOBEAST083,MOBEAST_T9_K_2024-06-04_1200,T9,K,6/4/2024,1200
MOBEAST084,MOBEAST_T10_R_2024-06-04_1200,T10,R,6/4/2024,1200
MOBEAST085,MOBEAST_T11_C_2024-06-04_1200,T11,C,6/4/2024,1200
MOBEAST086,MOBEAST_T12_R_2024-06-04_1200,T12,R,6/4/2024,1200
MOBEAST087,MOBEAST_T13_A_2024-06-04_1200,T13,A,6/4/2024,1200
MOBEAST088,MOBEAST_T14_A_2024-06-04_1200,T14,A,6/4/2024,1200
MOBEAST089,MOBEAST_T15_C_2024-06-04_1200,T15,C,6/4/2024,1200
MOBEAST090,MOBEAST_T16_K_2024-06-04_1200,T16,K,6/4/2024,1200
MOBEAST091,MOBEAST_F1_Inflow_2024-06-06_1200,F1,Inflow,6/6/2024,1200
MOBEAST092,MOBEAST_F2_Inflow_2024-06-06_1200,F2,Inflow,6/6/2024,1200
MOBEAST093,MOBEAST_T1_A_2024-06-06_1200,T1,A,6/6/2024,1200
MOBEAST094,MOBEAST_T2_R_2024-06-06_1200,T2,R,6/6/2024,1200
MOBEAST095,MOBEAST_T3_C_2024-06-06_1200,T3,C,6/6/2024,1200
MOBEAST096,MOBEAST_T4_A_2024-06-06_1200,T4,A,6/6/2024,1200
MOBEAST097,MOBEAST_T5_R_2024-06-06_1200,T5,R,6/6/2024,1200
MOBEAST098,MOBEAST_T6_K_2024-06-06_1200,T6,K,6/6/2024,1200
MOBEAST099,MOBEAST_T7_K_2024-06-06_1200,T7,K,6/6/2024,1200
MOBEAST100,MOBEAST_T8_C_2024-06-06_1200,T8,C,6/6/2024,1200
MOBEAST101,MOBEAST_T9_K_2024-06-06_1200,T9,K,6/6/2024,1200
MOBEAST102,MOBEAST_T10_R_2024-06-06_1200,T10,R,6/6/2024,1200
MOBEAST103,MOBEAST_T11_C_2024-06-06_1200,T11,C,6/6/2024,1200
MOBEAST104,MOBEAST_T12_R_2024-06-06_1200,T12,R,6/6/2024,1200
MOBEAST105,MOBEAST_T13_A_2024-06-06_1200,T13,A,6/6/2024,1200
MOBEAST106,MOBEAST_T14_A_2024-06-06_1200,T14,A,6/6/2024,1200
MOBEAST107,MOBEAST_T15_C_2024-06-06_1200,T15,C,6/6/2024,1200
MOBEAST108,MOBEAST_T16_K_2024-06-06_1200,T16,K,6/6/2024,1200
MOBEAST109,MOBEAST_Bay _Endmember_2024-05-27_1500,Bay ,Endmember,5/27/2024,1500
MOBEAST110,MOBEAST_Ocean_Endmember_2024-05-27_1500,Ocean,Endmember,5/27/2024,1500
MOBEAST111,MOBEAST_Lagoon_Endmember_2024-05-27_1645,Lagoon,Endmember,5/27/2024,1645
MOBEAST112,MOBEAST_Bay _Endmember_2024-05-25_1510,Bay ,Endmember,5/25/2024,1510
MOBEAST113,MOBEAST_Ocean_Endmember_2024-05-25_1500,Ocean,Endmember,5/25/2024,1500
MOBEAST114,MOBEAST_Lagoon Tiahura_Endmember_2024-05-25_0845,Lagoon Tiahura,Endmember,5/25/2024,0845
MOBEAST115,MOBEAST_Bay _Rain_2024-06-06_1425,Bay ,Rain,6/6/2024,1425
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ID Number ,Long Name ,Tank #,Treatment,Date,Time
,MOBEAST_F1_Inflow_2024-06-02_12:00,F1,Inflow,6/2/2024,12:00
,MOBEAST_F2_Inflow_2024-06-02_12:00,F2,Inflow,6/2/2024,12:00
,MOBEAST_T1_A_2024-06-02_12:00,T1,A,6/2/2024,12:00
,MOBEAST_T2_R_2024-06-02_12:00,T2,R,6/2/2024,12:00
,MOBEAST_T3_C_2024-06-02_12:00,T3,C,6/2/2024,12:00
,MOBEAST_T4_A_2024-06-02_12:00,T4,A,6/2/2024,12:00
,MOBEAST_T5_R_2024-06-02_12:00,T5,R,6/2/2024,12:00
,MOBEAST_T6_K_2024-06-02_12:00,T6,K,6/2/2024,12:00
,MOBEAST_T7_K_2024-06-02_12:00,T7,K,6/2/2024,12:00
,MOBEAST_T8_C_2024-06-02_12:00,T8,C,6/2/2024,12:00
,MOBEAST_T9_K_2024-06-02_12:00,T9,K,6/2/2024,12:00
,MOBEAST_T10_R_2024-06-02_12:00,T10,R,6/2/2024,12:00
,MOBEAST_T11_C_2024-06-02_12:00,T11,C,6/2/2024,12:00
,MOBEAST_T12_R_2024-06-02_12:00,T12,R,6/2/2024,12:00
,MOBEAST_T13_A_2024-06-02_12:00,T13,A,6/2/2024,12:00
,MOBEAST_T14_A_2024-06-02_12:00,T14,A,6/2/2024,12:00
,MOBEAST_T15_C_2024-06-02_12:00,T15,C,6/2/2024,12:00
,MOBEAST_T16_K_2024-06-02_12:00,T16,K,6/2/2024,12:00
,MOBEAST_F1_Inflow_2024-06-02_18:00,F1,Inflow,6/2/2024,18:00
,MOBEAST_F2_Inflow_2024-06-02_18:00,F2,Inflow,6/2/2024,18:00
,MOBEAST_T1_A_2024-06-02_18:00,T1,A,6/2/2024,18:00
,MOBEAST_T2_R_2024-06-02_18:00,T2,R,6/2/2024,18:00
,MOBEAST_T3_C_2024-06-02_18:00,T3,C,6/2/2024,18:00
,MOBEAST_T4_A_2024-06-02_18:00,T4,A,6/2/2024,18:00
,MOBEAST_T5_R_2024-06-02_18:00,T5,R,6/2/2024,18:00
,MOBEAST_T6_K_2024-06-02_18:00,T6,K,6/2/2024,18:00
,MOBEAST_T7_K_2024-06-02_18:00,T7,K,6/2/2024,18:00
,MOBEAST_T8_C_2024-06-02_18:00,T8,C,6/2/2024,18:00
,MOBEAST_T9_K_2024-06-02_18:00,T9,K,6/2/2024,18:00
,MOBEAST_T10_R_2024-06-02_18:00,T10,R,6/2/2024,18:00
,MOBEAST_T11_C_2024-06-02_18:00,T11,C,6/2/2024,18:00
,MOBEAST_T12_R_2024-06-02_18:00,T12,R,6/2/2024,18:00
,MOBEAST_T13_A_2024-06-02_18:00,T13,A,6/2/2024,18:00
,MOBEAST_T14_A_2024-06-02_18:00,T14,A,6/2/2024,18:00
,MOBEAST_T15_C_2024-06-02_18:00,T15,C,6/2/2024,18:00
,MOBEAST_T16_K_2024-06-02_18:00,T16,K,6/2/2024,18:00
,MOBEAST_F1_Inflow_2024-06-03_00:00,F1,Inflow,6/3/2024,0:00
,MOBEAST_F2_Inflow_2024-06-03_00:00,F2,Inflow,6/3/2024,0:00
,MOBEAST_T1_A_2024-06-03_00:00,T1,A,6/3/2024,0:00
,MOBEAST_T2_R_2024-06-03_00:00,T2,R,6/3/2024,0:00
,MOBEAST_T3_C_2024-06-03_00:00,T3,C,6/3/2024,0:00
,MOBEAST_T4_A_2024-06-03_00:00,T4,A,6/3/2024,0:00
,MOBEAST_T5_R_2024-06-03_00:00,T5,R,6/3/2024,0:00
,MOBEAST_T6_K_2024-06-03_00:00,T6,K,6/3/2024,0:00
,MOBEAST_T7_K_2024-06-03_00:00,T7,K,6/3/2024,0:00
,MOBEAST_T8_C_2024-06-03_00:00,T8,C,6/3/2024,0:00
,MOBEAST_T9_K_2024-06-03_00:00,T9,K,6/3/2024,0:00
,MOBEAST_T10_R_2024-06-03_00:00,T10,R,6/3/2024,0:00
,MOBEAST_T11_C_2024-06-03_00:00,T11,C,6/3/2024,0:00
,MOBEAST_T12_R_2024-06-03_00:00,T12,R,6/3/2024,0:00
,MOBEAST_T13_A_2024-06-03_00:00,T13,A,6/3/2024,0:00
,MOBEAST_T14_A_2024-06-03_00:00,T14,A,6/3/2024,0:00
,MOBEAST_T15_C_2024-06-03_00:00,T15,C,6/3/2024,0:00
,MOBEAST_T16_K_2024-06-03_00:00,T16,K,6/3/2024,0:00
,MOBEAST_F1_Inflow_2024-06-03_06:00,F1,Inflow,6/3/2024,6:00
,MOBEAST_F2_Inflow_2024-06-03_06:00,F2,Inflow,6/3/2024,6:00
,MOBEAST_T1_A_2024-06-03_06:00,T1,A,6/3/2024,6:00
,MOBEAST_T2_R_2024-06-03_06:00,T2,R,6/3/2024,6:00
,MOBEAST_T3_C_2024-06-03_06:00,T3,C,6/3/2024,6:00
,MOBEAST_T4_A_2024-06-03_06:00,T4,A,6/3/2024,6:00
,MOBEAST_T5_R_2024-06-03_06:00,T5,R,6/3/2024,6:00
,MOBEAST_T6_K_2024-06-03_06:00,T6,K,6/3/2024,6:00
,MOBEAST_T7_K_2024-06-03_06:00,T7,K,6/3/2024,6:00
,MOBEAST_T8_C_2024-06-03_06:00,T8,C,6/3/2024,6:00
,MOBEAST_T9_K_2024-06-03_06:00,T9,K,6/3/2024,6:00
,MOBEAST_T10_R_2024-06-03_06:00,T10,R,6/3/2024,6:00
,MOBEAST_T11_C_2024-06-03_06:00,T11,C,6/3/2024,6:00
,MOBEAST_T12_R_2024-06-03_06:00,T12,R,6/3/2024,6:00
,MOBEAST_T13_A_2024-06-03_06:00,T13,A,6/3/2024,6:00
,MOBEAST_T14_A_2024-06-03_06:00,T14,A,6/3/2024,6:00
,MOBEAST_T15_C_2024-06-03_06:00,T15,C,6/3/2024,6:00
,MOBEAST_T16_K_2024-06-03_06:00,T16,K,6/3/2024,6:00
,MOBEAST_F1_Inflow_2024-06-04_12:00,F1,Inflow,6/4/2024,12:00
,MOBEAST_F2_Inflow_2024-06-04_12:00,F2,Inflow,6/4/2024,12:00
,MOBEAST_T1_A_2024-06-04_12:00,T1,A,6/4/2024,12:00
,MOBEAST_T2_R_2024-06-04_12:00,T2,R,6/4/2024,12:00
