id_number,tank_number,treatment,inflow_table,date,time,date_time,date_string,time_string,date_time_string,het_bact,pico_euk,syn,pro,tot_bact,cyano,chla_conc,npoc_u_m,tn_u_m,coble_a,coble_b,coble_c,coble_m,coble_t,m_to_c,bix,hix,fpeak,fi,lignin,N_N,NO2,PO4,SiO2,NH3,NO3,ph,ph_diff,delta_ta,do_mg_l,ta,p_h,dic_mmol_kg,residence_time,flowrate
MOBEAST001,F1,Inflow,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,522.15,6,119.15,21.15,662.45,140.30000000000007,0.016,138.7623813211,11.7228421636312,0.00853447977615506,0.0486708207755194,0.00527138334795566,0.0100632119825517,0.0560012824498741,1.90902678069399,0.6731170747591,0.403136920662016,0.0311201822058794,1.8435321240008,0.045838590706895,1.145,0.09390409366,0.08416047528,1.258988571,0.4231201663,1.05109590634,8.039081384592432,0,0,NA,2343.183,NA,NA,NA,NA
MOBEAST002,F2,Inflow,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,540.467,4.067,118.55,17.767,676.783,136.317,0.07519999999999999,146.089181590859,11.9805759624561,0.00714406465721162,0.0386090829843418,0.0035346280335598,0.00829575542638538,0.0486005700587079,2.3469953125535947,0.504732040305598,0.410151375044197,0.0356020965202666,1.59020197286869,0.0222023074347949,1.27,0.09897465131,0.077,1.004552258,0.5454408185,1.17102534869,8.035215197700206,0,0,NA,2355.042,NA,NA,NA,NA
MOBEAST003,T1,Algae,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,737.033,2.4,59.6,17.867,814.5,77.46699999999998,0.0632,215.527265965625,15.0683839400668,0.0220176662634898,0.0678531588116172,0.0219093721011687,0.0258833217124717,0.0824940881681683,1.1813812642805506,0.789836982968776,0.750071359436272,0.033533544792945,1.6403347247674,0.0657295178843358,0.296,0.01,0.077,0.3976745336,0.085,0.286,NA,NA,NA,4.77,2308.968,8.255712110654017,1804.385576063748,0.8503401360544216,3.2666666666666666
MOBEAST004,T2,CCA,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,347.82,1.498,44.592,8.569,400.982,53.161,0.0892,159.410636626786,14.2830454948941,0.00830268721292771,0.0495129601850767,0.00810568371139948,0.0112009294287335,0.0464802341480124,1.3818611516979131,0.623118700069342,0.519119231285919,0.017656132865053,1.99337550677921,0.0118461646779671,1.098,0.01,0.077,0.06784968345,0.9062657249,1.088,8.147382772593602,0.11216757489339636,-139.5,4.66,2215.542,8.131556175314378,1816.9993198633392,1.182033096926714,2.35
MOBEAST005,T3,Control,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,671.664,2.962,112.729,16.772,801.165,129.50099999999998,0.0764,207.700911132018,25.7275684731831,0.00669604836955613,0.0738940509924444,0.00585434493565206,0.0101728636907881,0.0821615539097586,1.737660456054942,1.04774754070578,0.257161768669714,0.0358451535408891,2.06276625464932,0.0590873668425802,1.332,0.1264346843,0.077,1.215640162,1.92283021,1.2055653157000001,8.030935903973361,-0.0042792937268441,2.7899999999999636,4.42,2357.832,8.018457460846129,2020.1386603399185,2.1367521367521367,1.3
MOBEAST006,T4,Algae,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,877.95,4.583,85.15,19.5,982.6,104.64999999999998,0.30519999999999997,258.322440268538,14.4829498263926,0.0116062673467997,0.0497155458912274,0.0107713771411973,0.0131371632353457,0.0554571313831756,1.2196363624758781,0.700776730184215,0.519895191089651,0.0371130699600357,1.53329445553414,0,0.324,0.01,0.08837706936,0.7614242254,0.1262719034,0.314,8.080431172347458,0.04521597464725246,70.58199999999988,4.56,2425.624,8.064968086404676,2045.675476010122,1.1037527593818983,2.5166666666666666
MOBEAST007,T5,CCA,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,474.867,1.9,87.367,12.017,574.25,99.38399999999996,0.5448,142.176004174056,13.2835238374016,0.00717105420229528,0.0842049843998443,0.00519902281090358,0.00798038807665228,0.0468113907268575,1.5349784693991955,0.809934654402416,0.394668593569803,0.0727621058419829,1.64077425570003,0.0332114083848893,0.711,0.08448734374,0.077,0.7840407865,0.7588924581,0.62651265626,8.093517642417265,0.05830244471705903,-27.19900000000007,4.72,2327.843,8.082336220101567,1957.2080666650409,1.1904761904761905,2.3333333333333335
MOBEAST008,T6,Coral,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,470.733,3.317,81.917,48.817,601.467,130.73399999999998,1.7544000000000002,183.972069349275,19.3306298652312,0.00883950132834377,0.0902454398599073,0.00607299841421672,0.0141383098194434,0.112401389649781,2.3280608449272786,1.10544232504663,0.263913512225075,0.00508427941616261,2.19204824425479,0.0314583355953983,2.095,0.07915338049,0.077,0.878276458,1.012192888,2.01584661951,8.090905911676884,0.05569071397667891,-66.03600000000006,3.81,2289.006,8.080788857750262,1920.799237629812,1.243781094527363,2.2333333333333334
MOBEAST009,T7,Coral,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,901.333,4.217,116.417,17.183,1034.933,133.60000000000002,0.8443999999999999,147.088290718554,13.8760973914865,0.00615935701827658,0.0582300073973647,0.00463336603630153,0.0086108509646838,0.0618829090824658,1.8584439254786782,0.944571048401857,0.411622748767734,0.075473695267994,1.48230977440288,0.00368705787668607,1.071,0.1082596984,0.1006497578,0.8952388789,0.4582610822,0.9627403015999999,8.04884072680115,0.01362552910094372,-8.545999999999822,4.72,2346.496,8.038593116048348,2002.6366872467047,0.17129153819801302,16.216666666666665
MOBEAST010,T8,Control,Table 2,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,514.583,2.7,115.2,16.117,645.9,131.317,0.25120000000000003,137.430235817507,13.5262648113641,0.00605195208140413,0.0760813789534515,0.00331565196640908,0.00709216405823315,0.0414345765218118,2.138995325831532,0.642964204961481,0.377003790028423,0.0315181244940096,1.41412357518019,0.0159177853903355,0.746,0.1199153959,0.1320856665,0.9743968429,0.5382108693,0.6260846041,NA,NA,NA,4.47,2356.019,8.034008291834432,2013.167827839841,0.5112474437627812,5.433333333333334
MOBEAST011,T9,Coral,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,524.617,3.117,119.467,14.9,658.983,134.36699999999996,0.3944,144.840295181241,12.5645821880481,0.0064676241396417,0.0753998902920884,0.0039185362902906,0.0077888774689803,0.0367614195979669,1.9877007361855197,0.748852905468443,0.39616000242599,0.0379634173538985,1.90650117569898,0.0114261563605953,0.982,0.131175985,0.077,2.052452924,1.110133478,0.8508240149999999,8.06139510534282,0.02231372075038784,1.7080000000000837,4.03,2344.891,8.048228157710797,1992.0031550310205,0.30864197530864196,9
MOBEAST012,T10,CCA,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,403.65,2.8,31.933,48.833,484.417,80.76599999999996,0.15480000000000002,182.723182939657,22.7861190239909,0.0140560833208588,0.115350395723193,0.0138919790691301,0.0177052162128734,0.124981027434106,1.274492001806772,1.24925873073452,0.424770517458587,0.0234575188521866,1.73154396161244,0.0428925227366005,1.587,0.01,0.077,0.01,2.151750578,1.577,8.188787587480503,0.1497062028880709,-180.10800000000015,4.13,2163.075,8.174508870792394,1743.024300282888,0.4844961240310077,5.733333333333333
MOBEAST013,T11,Control,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,552.533,2.433,121.383,15.7,689.617,137.08299999999997,0.30440000000000006,128.688030950181,13.9617706764144,0.00750110105193647,0.0972355188788325,0.00564404411734511,0.00992694606999149,0.0509745536836426,1.7588356617348706,0.733114045230646,0.359597459053439,0.0590826242399302,1.58404903139874,0.0657701377214272,0.539,0.1063500079,0.077,1.551119152,0.4633052328,0.43264999210000005,8.034143683857662,-0.00493770073476973,21.947000000000116,3.6,2365.13,8.020746081370591,2023.4385859009255,5.747126436781609,0.48333333333333334
MOBEAST014,T12,CCA,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,362,2.417,43.067,16.567,421.633,59.634000000000015,0.8872000000000001,152.500131826899,17.2958893481929,0.00948804592163324,0.0749340224715442,0.00833042097620901,0.0126183931829246,0.078065955984034,1.5147365564071351,0.944285354233396,0.391295854917208,0.0273413895893612,1.94209267508987,0.0170722741122036,0.92,0.01,0.077,0.01,0.8692752871,0.91,8.14851720815794,0.10943582356550864,-127.29599999999982,4,2215.887,8.134698893839802,1813.2078604921771,0.5159958720330238,5.383333333333334
MOBEAST015,T13,Algae,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,604.509,2.097,103.161,15.657,723.328,118.81799999999998,0.5492,148.004140752274,13.9617706764144,0.00738998503967228,0.058685255133585,0.00615924295614916,0.0105637061371612,0.042623952288802,1.715098139880127,0.777906900137856,0.472304485253445,0.0448037314231628,1.63228408745114,0.00892263746737693,0.443,0.01,0.077,0.878276458,0.4365712346,0.433,8.194982848963363,0.1559014643709311,-18.115999999999985,4.33,2325.067,8.180074165,1875.422795376901,2.8735632183908044,0.9666666666666668
MOBEAST016,T14,Algae,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,566.167,2.583,94.783,17.25,678.2,112.03300000000002,0.4296,139.075990575071,11.2688927441867,0.00743894444774409,0.0658055402860172,0.00634989799780759,0.0100601172200111,0.0554171072697345,1.5842958774274052,0.748218237465348,0.39976011414311,0.0490121878650638,1.91119264324408,0,0.533,0.07283164628,0.09468481985,0.8292739088,0.5498964848,0.46016835372000003,8.121747207855945,0.0826658232635129,-5.764000000000124,4.25,2337.419,8.107433449962663,1942.3494427302392,1.6501650165016502,1.6833333333333331
MOBEAST017,T15,Control,Table 1,2024-06-02,12:00:00,2024-06-02T12:00:00Z,2024-06-02,12:00:00,2024-06-02 12:00:00,557.504,3.577,116.639,17.72,691.864,134.35900000000004,0.6188,132.83155852698,11.380268014593,0.00846002474675295,0.0547439518121068,0.0045029137238939004,0.0120612215979432,0.0301732105263161,2.678537128957746,0.453883885722189,0.524029809517779,0.0418370449179045,2.06447974376422,0.00641324554916015,0.504,0.0994356111,0.077,0.7859255,0.5184546127,0.4045643889,8.047537343753547,0.00845595916111463,19.266999999999825,4.07,2362.45,8.035051100622374,2013.2316287238816,4.901960784313725,0.5666666666666667
