id_number,long_name,tank_number,treatment,inflow_table,date_time,date,time,npoc_u_m,npoc_u_m_norm,coble_a,coble_b,coble_c,coble_m,coble_t,m_to_c,bix,hix,fpeak,fi,lignin,ph,ph_inflow,ph_diff,ta,ta_inflow,delta_ta
MOBEAST001,MOBEAST_F1_Inflow_2024-06-02_1200,F1,Inflow,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,138.7623813211,0,0,0,0,0,0,0,0,0,0,0,0,8.039081384592432,8.039081384592432,0,2343.183,2343.183,0
MOBEAST002,MOBEAST_F2_Inflow_2024-06-02_1200,F2,Inflow,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,146.089181590859,0,0,0,0,0,0,0,0,0,0,0,0,8.035215197700206,8.035215197700206,0,2355.042,2355.042,0
MOBEAST003,MOBEAST_T1_A_2024-06-02_1200,T1,Algae,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,215.527265965625,76.76488464452498,0.01348318648733474,0.0191823380360978,0.01663798875321304,0.01582010972992,0.0264928057182942,0.32263966474229,0.11671990820967604,0.346934438774256,0.00241336258706559,-0.20319739923339997,0.0198909271774408,8.272669267393425,8.039081384592432,0.2335878828009932,2308.968,2343.183,-34.215000000000146
MOBEAST004,MOBEAST_T2_R_2024-06-02_1200,T2,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,159.410636626786,13.321455035926988,0.00115862255571609,0.0109038772007349,0.00457105567783967,0.00290517400234812,-0.00212033591069549,0.29758501462725,0.11838665976374396,0.10896785624172196,-0.0179459636552136,0.40317353391052,-0.01035614275682779,8.147382772593602,8.035215197700206,0.11216757489339636,2215.542,2355.042,-139.5
MOBEAST005,MOBEAST_T3_C_2024-06-02_1200,T3,Control,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,207.700911132018,61.61172954115901,-4.480162876554896e-4,0.03528496800810259,0.00231971690209226,0.00187710826440271,0.0335609838510507,0.149409730396379,0.5430155004001819,-0.152989606374483,2.430570206225016e-4,0.47256428178063015,0.0368850594077853,8.030935903973361,8.035215197700206,-0.0042792937268441,2357.832,2355.042,2.7899999999999636
MOBEAST006,MOBEAST_T4_A_2024-06-02_1200,T4,Algae,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,258.322440268538,112.233258677679,0.00446220268958808,0.01110646290688559,0.0072367491076375,0.00484140780896032,0.0068565613244677,0.393839825907666,0.196044689878617,0.10974381604545395,0.0015109734397691,-0.05690751733455013,-0.0222023074347949,8.080431172347458,8.035215197700206,0.04521597464725246,2425.624,2355.042,70.58199999999988
MOBEAST007,MOBEAST_T5_R_2024-06-02_1200,T5,CCA,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,142.176004174056,-3.913177416802995,2.6989545083660332e-5,0.04559590141550249,0.00166439477734377,-3.1536734973310054e-4,-0.0017891793318504,0.22539824346281395,0.3052026140968179,-0.01548278147439402,0.03716000932171629,0.05057228283133996,0.0110091009500944,8.093517642417265,8.035215197700206,0.05830244471705903,2327.843,2355.042,-27.19900000000007
MOBEAST008,MOBEAST_T6_K_2024-06-02_1200,T6,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,183.972069349275,37.88288775841599,0.00169543667113215,0.05163635687556549,0.00253837038065692,0.00584255439305802,0.06380081959107309,0.00346534557176897,0.600710284741032,-0.14623786281912204,-0.03051781710410399,0.6018462713860999,0.00925602816060339,8.090905911676884,8.035215197700206,0.05569071397667891,2289.006,2355.042,-66.03600000000006
MOBEAST009,MOBEAST_T7_K_2024-06-02_1200,T7,Coral,Table 2,2024-06-02T12:00:00Z,2024-06-02,12:00:00,147.088290718554,0.999109127694993,-9.8470763893504e-4,0.0196209244130229,0.00109873800274173,3.1509553829841934e-4,0.01328233902375789,0.11200787726198597,0.439839008096259,0.001471373723537,0.03987159874772739,-0.10789219846581012,-0.01851524955810882,8.04884072680115,8.035215197700206,0.01362552910094372,2346.496,2355.042,-8.545999999999822
MOBEAST010,MOBEAST_T8_C_2024-06-02_1200,T8,Control,Table 1,2024-06-02T12:00:00Z,2024-06-02,12:00:00,137.430235817507,-1.3321455035930114,-0.00248252769475092,0.0274105581779321,-0.00195573138154658,-0.00297104792431855,-0.0145667059280623,-0.05631791672048597,-0.03015286979761899,-0.02613313063359301,3.979422881301986e-4,-0.4294085488206101,-0.0299208053165595,8.045235850951313,8.039081384592432,0.00615446635888083,2356.019,2343.183,12.835999999999784
