"UniqueID","run_name","run_order","sample","group","SEM_file","blank1","blank2","ABS_file"
"MilliQ_run7_1","run7",1,"Group001Sample0001","Group001","Group001Sample0001SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0001ABS.dat"
"MOBEAST001","run7",2,"Group001Sample0002","Group001","Group001Sample0002SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0002ABS.dat"
"MOBEAST002","run7",3,"Group001Sample0003","Group001","Group001Sample0003SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0003ABS.dat"
"MOBEAST003","run7",4,"Group001Sample0004","Group001","Group001Sample0004SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0004ABS.dat"
"MOBEAST004","run7",5,"Group001Sample0005","Group001","Group001Sample0005SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0005ABS.dat"
"MOBEAST005","run7",6,"Group001Sample0006","Group001","Group001Sample0006SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0006ABS.dat"
"MOBEAST006","run7",7,"Group001Sample0007","Group001","Group001Sample0007SEM.dat","Group001Sample0001BEM.dat","Group002Sample0001BEM.dat","Group001Sample0007ABS.dat"
"MOBEAST007","run7",8,"Group002Sample0001","Group002","Group002Sample0001SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0001ABS.dat"
"MOBEAST008","run7",9,"Group002Sample0002","Group002","Group002Sample0002SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0002ABS.dat"
"MOBEAST009","run7",10,"Group002Sample0003","Group002","Group002Sample0003SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0003ABS.dat"
"MOBEAST010","run7",11,"Group002Sample0004","Group002","Group002Sample0004SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0004ABS.dat"
"MOBEAST011","run7",12,"Group002Sample0005","Group002","Group002Sample0005SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0005ABS.dat"
"MOBEAST013","run7",13,"Group002Sample0006","Group002","Group002Sample0006SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0006ABS.dat"
"MOBEAST012","run7",14,"Group002Sample0007","Group002","Group002Sample0007SEM.dat","Group002Sample0001BEM.dat","Group003Sample0001BEM.dat","Group002Sample0007ABS.dat"
"MOBEAST014","run7",15,"Group003Sample0001","Group003","Group003Sample0001SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0001ABS.dat"
"MOBEAST015","run7",16,"Group003Sample0002","Group003","Group003Sample0002SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0002ABS.dat"
"MOBEAST016","run7",17,"Group003Sample0003","Group003","Group003Sample0003SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0003ABS.dat"
"MOBEAST017","run7",18,"Group003Sample0004","Group003","Group003Sample0004SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0004ABS.dat"
"MOBEAST018","run7",19,"Group003Sample0005","Group003","Group003Sample0005SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0005ABS.dat"
"MOBEAST073","run7",20,"Group003Sample0006","Group003","Group003Sample0006SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0006ABS.dat"
"MOBEAST074","run7",21,"Group003Sample0007","Group003","Group003Sample0007SEM.dat","Group003Sample0001BEM.dat","Group004Sample0001BEM.dat","Group003Sample0007ABS.dat"
"MOBEAST075","run7",22,"Group004Sample0001","Group004","Group004Sample0001SEM.dat","Group004Sample0001BEM.dat","Group005Sample0001BEM.dat","Group004Sample0001ABS.dat"
"MOBEAST076","run7",23,"Group004Sample0002","Group004","Group004Sample0002SEM.dat","Group004Sample0001BEM.dat","Group005Sample0001BEM.dat","Group004Sample0002ABS.dat"
"MOBEAST077","run7",24,"Group004Sample0003","Group004","Group004Sample0003SEM.dat","Group004Sample0001BEM.dat","Group005Sample0001BEM.dat","Group004Sample0003ABS.dat"
"MOBEAST078","run7",25,"Group004Sample0004","Group004","Group004Sample0004SEM.dat","Group004Sample0001BEM.dat","Group005Sample0001BEM.dat","Group004Sample0004ABS.dat"
"MOBEAST079","run7",26,"Group004Sample0005","Group004","Group004Sample0005SEM.dat","Group004Sample0001BEM.dat","Group005Sample0001BEM.dat","Group004Sample0005ABS.dat"
"MOBEAST080","run7",27,"Group004Sample0006","Group004","Group004Sample0006SEM.dat","Group004Sample0001BEM.dat","Group005Sample0001BEM.dat","Group004Sample0006ABS.dat"
"MOBEAST081","run7",28,"Group004Sample0007","Group004","Group004Sample0007SEM.dat","Group004Sample0001BEM.dat","Group005Sample0001BEM.dat","Group004Sample0007ABS.dat"
"MOBEAST082","run7",29,"Group005Sample0001","Group005","Group005Sample0001SEM.dat","Group005Sample0001BEM.dat","Group006Sample0001BEM.dat","Group005Sample0001ABS.dat"
"MOBEAST083","run7",30,"Group005Sample0002","Group005","Group005Sample0002SEM.dat","Group005Sample0001BEM.dat","Group006Sample0001BEM.dat","Group005Sample0002ABS.dat"
"MOBEAST084","run7",31,"Group005Sample0003","Group005","Group005Sample0003SEM.dat","Group005Sample0001BEM.dat","Group006Sample0001BEM.dat","Group005Sample0003ABS.dat"
"MOBEAST085","run7",32,"Group005Sample0004","Group005","Group005Sample0004SEM.dat","Group005Sample0001BEM.dat","Group006Sample0001BEM.dat","Group005Sample0004ABS.dat"
"MOBEAST086","run7",33,"Group005Sample0005","Group005","Group005Sample0005SEM.dat","Group005Sample0001BEM.dat","Group006Sample0001BEM.dat","Group005Sample0005ABS.dat"
"MOBEAST087","run7",34,"Group005Sample0006","Group005","Group005Sample0006SEM.dat","Group005Sample0001BEM.dat","Group006Sample0001BEM.dat","Group005Sample0006ABS.dat"
"MOBEAST088","run7",35,"Group005Sample0007","Group005","Group005Sample0007SEM.dat","Group005Sample0001BEM.dat","Group006Sample0001BEM.dat","Group005Sample0007ABS.dat"
"MOBEAST089","run7",36,"Group006Sample0001","Group006","Group006Sample0001SEM.dat","Group006Sample0001BEM.dat","Group007Sample0001BEM.dat","Group006Sample0001ABS.dat"
"MOBEAST090","run7",37,"Group006Sample0002","Group006","Group006Sample0002SEM.dat","Group006Sample0001BEM.dat","Group007Sample0001BEM.dat","Group006Sample0002ABS.dat"
"MOBEAST091","run7",38,"Group006Sample0003","Group006","Group006Sample0003SEM.dat","Group006Sample0001BEM.dat","Group007Sample0001BEM.dat","Group006Sample0003ABS.dat"
"MOBEAST092","run7",39,"Group006Sample0004","Group006","Group006Sample0004SEM.dat","Group006Sample0001BEM.dat","Group007Sample0001BEM.dat","Group006Sample0004ABS.dat"
"MOBEAST093","run7",40,"Group006Sample0005","Group006","Group006Sample0005SEM.dat","Group006Sample0001BEM.dat","Group007Sample0001BEM.dat","Group006Sample0005ABS.dat"
"MOBEAST094","run7",41,"Group006Sample0006","Group006","Group006Sample0006SEM.dat","Group006Sample0001BEM.dat","Group007Sample0001BEM.dat","Group006Sample0006ABS.dat"
"MOBEAST095","run7",42,"Group006Sample0007","Group006","Group006Sample0007SEM.dat","Group006Sample0001BEM.dat","Group007Sample0001BEM.dat","Group006Sample0007ABS.dat"
"MOBEAST096","run7",43,"Group007Sample0001","Group007","Group007Sample0001SEM.dat","Group007Sample0001BEM.dat","Group008Sample0001BEM.dat","Group007Sample0001ABS.dat"
"MOBEAST097","run7",44,"Group007Sample0002","Group007","Group007Sample0002SEM.dat","Group007Sample0001BEM.dat","Group008Sample0001BEM.dat","Group007Sample0002ABS.dat"
"MOBEAST098","run7",45,"Group007Sample0003","Group007","Group007Sample0003SEM.dat","Group007Sample0001BEM.dat","Group008Sample0001BEM.dat","Group007Sample0003ABS.dat"
"MOBEAST099","run7",46,"Group007Sample0004","Group007","Group007Sample0004SEM.dat","Group007Sample0001BEM.dat","Group008Sample0001BEM.dat","Group007Sample0004ABS.dat"
"MOBEAST100","run7",47,"Group007Sample0005","Group007","Group007Sample0005SEM.dat","Group007Sample0001BEM.dat","Group008Sample0001BEM.dat","Group007Sample0005ABS.dat"
"MOBEAST101","run7",48,"Group007Sample0006","Group007","Group007Sample0006SEM.dat","Group007Sample0001BEM.dat","Group008Sample0001BEM.dat","Group007Sample0006ABS.dat"
"MOBEAST102","run7",49,"Group007Sample0007","Group007","Group007Sample0007SEM.dat","Group007Sample0001BEM.dat","Group008Sample0001BEM.dat","Group007Sample0007ABS.dat"
"MOBEAST103","run7",50,"Group008Sample0001","Group008","Group008Sample0001SEM.dat","Group008Sample0001BEM.dat","Group001Sample0001BEM.dat","Group008Sample0001ABS.dat"
"MOBEAST104","run7",51,"Group008Sample0002","Group008","Group008Sample0002SEM.dat","Group008Sample0001BEM.dat","Group001Sample0001BEM.dat","Group008Sample0002ABS.dat"
"MOBEAST105","run7",52,"Group008Sample0003","Group008","Group008Sample0003SEM.dat","Group008Sample0001BEM.dat","Group001Sample0001BEM.dat","Group008Sample0003ABS.dat"
"MOBEAST106","run7",53,"Group008Sample0004","Group008","Group008Sample0004SEM.dat","Group008Sample0001BEM.dat","Group001Sample0001BEM.dat","Group008Sample0004ABS.dat"
"MOBEAST107","run7",54,"Group008Sample0005","Group008","Group008Sample0005SEM.dat","Group008Sample0001BEM.dat","Group001Sample0001BEM.dat","Group008Sample0005ABS.dat"
"MOBEAST108","run7",55,"Group008Sample0006","Group008","Group008Sample0006SEM.dat","Group008Sample0001BEM.dat","Group001Sample0001BEM.dat","Group008Sample0006ABS.dat"
"MilliQ_run7_2","run7",56,"Group008Sample0007","Group008","Group008Sample0007SEM.dat","Group008Sample0001BEM.dat","Group001Sample0001BEM.dat","Group008Sample0007ABS.dat"
