Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
500	248.336	1.03892456188075
500	252.814	-23.0660848764126
500	257.296	39.4746163473795
500	261.781	-24.4103569748365
500	266.271	-16.5571581268726
500	270.764	28.0186331840856
500	275.26	-36.1577856962976
500	279.76	-0.608659591204889
500	284.264	-19.6171166460281
500	288.772	-25.0841513438336
500	293.283	-20.9247797721501
500	297.797	8.10719877918115
500	302.315	32.311935866805
500	306.837	-3.46276117236659
500	311.362	-1.98213143410174
500	315.89	6.42209488012305
500	320.422	-7.92119993104028
500	324.958	7.66717667845946
500	329.496	8.82592867711779
500	334.038	-24.5898841656495
500	338.584	22.9792930177075
500	343.133	-4.68738806664747
500	347.685	-11.536387167248
500	352.24	-7.43238930808949
500	356.799	-15.5810802137688
500	361.361	-11.8701201348118
500	365.926	34.1691519512958
500	370.495	-14.5327527069901
500	375.067	11.2490851860249
500	379.641	-10.854584829786
500	384.219	11.7774000837252
500	388.801	3.45727537841932
500	393.385	32.2315508921917
500	397.972	-33.4934560392126
500	402.562	11.9084660255725
500	407.156	-9.6185629704188
500	411.752	4.71894017125228
500	416.352	18.6285254265868
500	420.954	17.0059647829887
500	425.56	11.7948668196019
500	430.168	-13.1761151029567
500	434.779	45.8052764432594
500	439.393	-5.53882588288344
500	444.01	11.7265427834291
500	448.63	-9.98503147415719
500	453.253	-2.27712389237328
500	457.878	-17.6739753715222
500	462.506	2.22176023808625
500	467.137	-13.259189708626
500	471.771	-16.0911337395983
500	476.407	-14.576402509465
500	481.047	-4.00213512308937
500	485.688	6.14187203348344
500	490.333	45.3022156250891
500	494.979	63.3857491278768
500	499.629	329.468652883721
500	504.281	166.984954773305
500	508.936	26.1212049039916
500	513.593	30.3507792391126
500	518.252	66.5072502424115
500	522.914	72.143180327846
500	527.579	83.4459930743205
500	532.245	83.8418345549897
500	536.915	70.9927836519689
500	541.586	74.688083693701
500	546.26	84.2421675911804
500	550.936	71.7084502248669
500	555.615	108.107098954858
500	560.296	102.320921641103
