Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
500	248.336	15.0039735873016
500	252.814	13.6366821875995
500	257.296	5.52337377589189
500	261.781	24.2832805935656
500	266.271	7.61879582894176
500	270.764	-32.3414179154684
500	275.26	3.09742379826809
500	279.76	-27.14711685118
500	284.264	11.5037946036843
500	288.772	-14.0728167411221
500	293.283	-5.72838765679582
500	297.797	45.8281590513326
500	302.315	-14.8268879097622
500	306.837	-25.6431899246143
500	311.362	-3.44910736989582
500	315.89	-6.86639998022095
500	320.422	46.3493276630854
500	324.958	-5.07013325499635
500	329.496	11.3995141351786
500	334.038	73.4375657348419
500	338.584	-29.5783831453979
500	343.133	8.82806820190173
500	347.685	32.8250465477757
500	352.24	19.027803378963
500	356.799	-22.4237589458898
500	361.361	0.0158491995948413
500	365.926	-22.6882389257277
500	370.495	9.10044935303294
500	375.067	45.3537125449492
500	379.641	-31.8813657119371
500	384.219	28.5453544483094
500	388.801	13.8001419206791
500	393.385	10.8337112854738
500	397.972	-2.75164680229421
500	402.562	-15.8079706963298
500	407.156	3.48379631848652
500	411.752	-27.811839407003
500	416.352	-7.59039371411568
500	420.954	-0.00984635137188761
500	425.56	14.5717018017357
500	430.168	6.3488547850165
500	434.779	7.12886969230316
500	439.393	-11.0288841012644
500	444.01	10.1098545513083
500	448.63	-4.20482312123773
500	453.253	10.9583552177509
500	457.878	-3.39461438496511
500	462.506	1.46789113434374
500	467.137	14.9754919547831
500	471.771	-27.3148650224892
500	476.407	-36.9668294681223
500	481.047	-24.2154901687402
500	485.688	38.9056862646939
500	490.333	19.6884188239234
500	494.979	80.2984520843802
500	499.629	61.436248814085
500	504.281	6.0789735346716
500	508.936	-5.67445469310167
500	513.593	-6.48273321525069
500	518.252	5.97845831924463
500	522.914	5.59819308212546
500	527.579	5.25574493771986
500	532.245	-8.11698954271333
500	536.915	-5.69543994725014
500	541.586	-6.86588798238214
500	546.26	2.50992505985911
500	550.936	-21.1310484206906
500	555.615	-1.83302135900158
