500	-0.00677624732785969
495	-0.00745000710901444
490	-0.00803788526132357
485	-0.00872071082994763
480	-0.00924366076057701
475	-0.00955315736925797
470	-0.00973779511854166
465	-0.00983768507150087
460	-0.0103886164040602
455	-0.0110634710904236
450	-0.0119521759061786
445	-0.0130386069855527
440	-0.0144370018871403
435	-0.0160559976670392
430	-0.01779933325673
425	-0.0196935146044276
420	-0.0217343335948359
415	-0.0236801409675626
410	-0.0256512403765402
405	-0.0275944400828648
400	-0.0296079676621308
395	-0.0315803356976206
390	-0.0339808029591992
385	-0.0365268900880896
380	-0.039293886815311
375	-0.0420430261029271
370	-0.0443714769116672
365	-0.0462133622080209
360	-0.0475375902829555
355	-0.0483404423779277
350	-0.0488781826171699
345	-0.0491582602801832
340	-0.0494164473145436
335	-0.0497842794058327
330	-0.0503413117898614
325	-0.0513215586678204
320	-0.0524382883888401
315	-0.0538152890274789
310	-0.0550293359981952
305	-0.0556794183248445
300	-0.0554952194135131
295	-0.0546059054590484
290	-0.0537064433825589
285	-0.0534096360394965
280	-0.0537634795328222
275	-0.0541117751304705
270	-0.0562550346212898
265	-0.0584947745146232
260	-0.0616792999526427
255	-0.0657381738407497
250	-0.0697186541540875
245	-0.0734061213735608
240	-0.0768468816727073
